startAgent,SubjectID,Trial,t_now,T_end,testTrajIdx,chooseSwitch,Age,Gender,Comments
velocity,20,2,2,8,2,0,58,F,Trying to have the strongest defense for the longest period of time.
velocity,21,0,2,3,1,0,33,F,continue with type a cause it had the most growth in the examples
velocity,21,1,2,5,1,0,33,F,continue with type a cause it had the most growth in the examples
velocity,21,2,2,8,1,0,33,F,continue with type a cause it had the most growth in the examples
velocity,22,0,2,3,2,1,46,M,I noticed A seemed to really increase after the second month but then leveled off. So if the attack was early I stayed with A if the attack was late I went with B.
velocity,22,1,2,5,2,0,46,M,I noticed A seemed to really increase after the second month but then leveled off. So if the attack was early I stayed with A if the attack was late I went with B.
velocity,22,2,2,8,2,0,46,M,I noticed A seemed to really increase after the second month but then leveled off. So if the attack was early I stayed with A if the attack was late I went with B.
velocity,23,0,2,3,0,1,62,M,i went with my gut according to previous examples
velocity,23,1,2,5,0,0,62,M,i went with my gut according to previous examples
velocity,23,2,2,8,0,0,62,M,i went with my gut according to previous examples
velocity,24,0,2,3,1,0,61,F,It seemed like it was ALWAYS better to stick with plan A. Plan B NEVER exceeded plan A.
velocity,24,1,2,5,1,0,61,F,It seemed like it was ALWAYS better to stick with plan A. Plan B NEVER exceeded plan A.
velocity,24,2,2,8,1,0,61,F,It seemed like it was ALWAYS better to stick with plan A. Plan B NEVER exceeded plan A.
velocity,25,0,2,3,1,1,60,F,"To utilize the source with the strongest power available at the time of the attack, then I switched to the source that had stronger sustainability in the later months."
velocity,25,1,2,5,1,1,60,F,"To utilize the source with the strongest power available at the time of the attack, then I switched to the source that had stronger sustainability in the later months."
velocity,25,2,2,8,1,0,60,F,"To utilize the source with the strongest power available at the time of the attack, then I switched to the source that had stronger sustainability in the later months."
velocity,26,0,2,3,2,1,44,F,"I relied on the data, which showed that A was usually better in the long run, but B may be better for attacks happening early."
velocity,26,1,2,5,2,0,44,F,"I relied on the data, which showed that A was usually better in the long run, but B may be better for attacks happening early."
velocity,26,2,2,8,2,0,44,F,"I relied on the data, which showed that A was usually better in the long run, but B may be better for attacks happening early."
velocity,27,0,2,3,2,0,36,F,I just went with my intuition rather than an actual strategy.
velocity,27,1,2,5,2,1,36,F,I just went with my intuition rather than an actual strategy.
velocity,27,2,2,8,2,1,36,F,I just went with my intuition rather than an actual strategy.
velocity,28,0,2,3,2,0,40,M,My strategy was to see which energy yielded the most advanced defense at the time of attack.
velocity,28,1,2,5,2,0,40,M,My strategy was to see which energy yielded the most advanced defense at the time of attack.
velocity,28,2,2,8,2,0,40,M,My strategy was to see which energy yielded the most advanced defense at the time of attack.
velocity,29,0,2,3,0,0,33,M,strategy A took longer to build but was strong so i chose that if the attack happened further down the line
velocity,29,1,2,5,0,1,33,M,strategy A took longer to build but was strong so i chose that if the attack happened further down the line
velocity,29,2,2,8,0,0,33,M,strategy A took longer to build but was strong so i chose that if the attack happened further down the line
velocity,30,0,2,3,1,1,45,M,Simply observe which energy source provided the strongest defense at any given month by comparing the bars.
velocity,30,1,2,5,1,0,45,M,Simply observe which energy source provided the strongest defense at any given month by comparing the bars.
velocity,30,2,2,8,1,0,45,M,Simply observe which energy source provided the strongest defense at any given month by comparing the bars.
velocity,31,0,2,3,0,1,31,F,I picked the one that would have the best chance at the time of attack.
velocity,31,1,2,5,0,0,31,F,I picked the one that would have the best chance at the time of attack.
velocity,31,2,2,8,0,0,31,F,I picked the one that would have the best chance at the time of attack.
velocity,32,0,2,3,2,1,36,F,I choose based on the information I was shown in the first two months. The starting bar for B was so far ahead that I thought A would likely only catch up with B by the time of the attack but B would build itself well ahead of where A would end up by then.
velocity,32,1,2,5,2,1,36,F,I choose based on the information I was shown in the first two months. The starting bar for B was so far ahead that I thought A would likely only catch up with B by the time of the attack but B would build itself well ahead of where A would end up by then.
velocity,32,2,2,8,2,1,36,F,I choose based on the information I was shown in the first two months. The starting bar for B was so far ahead that I thought A would likely only catch up with B by the time of the attack but B would build itself well ahead of where A would end up by then.
velocity,33,0,2,3,1,0,35,M,Go with the energy that provides the strongest defense
velocity,33,1,2,5,1,1,35,M,Go with the energy that provides the strongest defense
velocity,33,2,2,8,1,0,35,M,Go with the energy that provides the strongest defense
velocity,34,0,2,3,2,1,29,M,I based it off the timing and relative preparation in accordance to when I was going to be attacked.
velocity,34,1,2,5,2,1,29,M,I based it off the timing and relative preparation in accordance to when I was going to be attacked.
velocity,34,2,2,8,2,1,29,M,I based it off the timing and relative preparation in accordance to when I was going to be attacked.
velocity,35,0,2,3,1,1,49,M,After seeing the second demo my strategy was simply to choose Defense B if the attack was in the 3rd or 4th month.  But I would pick Defense A if it was month 5 or later.
velocity,35,1,2,5,1,0,49,M,After seeing the second demo my strategy was simply to choose Defense B if the attack was in the 3rd or 4th month.  But I would pick Defense A if it was month 5 or later.
velocity,35,2,2,8,1,0,49,M,After seeing the second demo my strategy was simply to choose Defense B if the attack was in the 3rd or 4th month.  But I would pick Defense A if it was month 5 or later.
velocity,36,0,2,3,0,1,21,M,"If the months were below 4 or 5 I would choose B, if the month value was above 4 or 5 I would choose B. "
velocity,36,1,2,5,0,0,21,M,"If the months were below 4 or 5 I would choose B, if the month value was above 4 or 5 I would choose B. "
velocity,36,2,2,8,0,0,21,M,"If the months were below 4 or 5 I would choose B, if the month value was above 4 or 5 I would choose B. "
velocity,37,0,2,3,2,0,38,M,"Once I committed to one defense method, I wanted to remain consistent as the idea of starting over was not appealing to me. "
velocity,37,1,2,5,2,0,38,M,"Once I committed to one defense method, I wanted to remain consistent as the idea of starting over was not appealing to me. "
velocity,37,2,2,8,2,0,38,M,"Once I committed to one defense method, I wanted to remain consistent as the idea of starting over was not appealing to me. "
velocity,38,0,2,3,0,1,44,F,"I saw how much the bar increased or not. Since I wanted the strongest defense, I chose the type went the furthest. "
velocity,38,1,2,5,0,0,44,F,"I saw how much the bar increased or not. Since I wanted the strongest defense, I chose the type went the furthest. "
velocity,38,2,2,8,0,1,44,F,"I saw how much the bar increased or not. Since I wanted the strongest defense, I chose the type went the furthest. "
velocity,39,0,2,3,2,1,34,M,It mostly depends on when the attack happens
velocity,39,1,2,5,2,0,34,M,It mostly depends on when the attack happens
velocity,39,2,2,8,2,0,34,M,It mostly depends on when the attack happens
velocity,40,0,2,3,1,0,32,F,I always think slow and steady is best.
velocity,40,1,2,5,1,0,32,F,I always think slow and steady is best.
velocity,40,2,2,8,1,0,32,F,I always think slow and steady is best.
velocity,41,0,2,3,1,1,32,M,I judged off of the simulations we ran in order to determine which energy development I thought would be the most efficient. 
velocity,41,1,2,5,1,0,32,M,I judged off of the simulations we ran in order to determine which energy development I thought would be the most efficient. 
velocity,41,2,2,8,1,0,32,M,I judged off of the simulations we ran in order to determine which energy development I thought would be the most efficient. 
velocity,42,0,2,3,2,1,45,M,"Using past history and my knowledge of when the attack occurred, I tried to calculate which energy source would be strongest during the attack month."
velocity,42,1,2,5,2,0,45,M,"Using past history and my knowledge of when the attack occurred, I tried to calculate which energy source would be strongest during the attack month."
velocity,42,2,2,8,2,1,45,M,"Using past history and my knowledge of when the attack occurred, I tried to calculate which energy source would be strongest during the attack month."
velocity,43,0,2,3,0,1,32,Prefer not to say,There was an analyzing of certain procedures that determined the amount of available capabilities of the energy systems after a certain amount of allotted time had elapsed.
velocity,43,1,2,5,0,0,32,Prefer not to say,There was an analyzing of certain procedures that determined the amount of available capabilities of the energy systems after a certain amount of allotted time had elapsed.
velocity,43,2,2,8,0,0,32,Prefer not to say,There was an analyzing of certain procedures that determined the amount of available capabilities of the energy systems after a certain amount of allotted time had elapsed.
velocity,44,0,2,3,0,1,23,F,"For months after month 6, I felt it was worth it to remain with attack A as it ended up with the longest possible bar. For months before month 6, I switched to attack B, as the current dark green bar was longer than any potential growth seen in attack A up until that point."
velocity,44,1,2,5,0,1,23,F,"For months after month 6, I felt it was worth it to remain with attack A as it ended up with the longest possible bar. For months before month 6, I switched to attack B, as the current dark green bar was longer than any potential growth seen in attack A up until that point."
velocity,44,2,2,8,0,0,23,F,"For months after month 6, I felt it was worth it to remain with attack A as it ended up with the longest possible bar. For months before month 6, I switched to attack B, as the current dark green bar was longer than any potential growth seen in attack A up until that point."
velocity,45,0,2,3,1,0,32,M,See how much example A is growing and make a decision from there.
velocity,45,1,2,5,1,0,32,M,See how much example A is growing and make a decision from there.
velocity,45,2,2,8,1,1,32,M,See how much example A is growing and make a decision from there.
velocity,46,0,2,3,0,1,40,F,the longset linee
velocity,46,1,2,5,0,1,40,F,the longset linee
velocity,46,2,2,8,0,1,40,F,the longset linee
velocity,47,0,2,3,0,0,45,F,System A seemed to work fastest.
velocity,47,1,2,5,0,0,45,F,System A seemed to work fastest.
velocity,47,2,2,8,0,1,45,F,System A seemed to work fastest.
velocity,48,0,2,3,1,1,42,F,"Type A was stronger in the long run, and B in the shorter run. So if the attach was coming before month 4 (when both were the same strength) Type B was the better choice, Otherwise, Type A was better."
velocity,48,1,2,5,1,0,42,F,"Type A was stronger in the long run, and B in the shorter run. So if the attach was coming before month 4 (when both were the same strength) Type B was the better choice, Otherwise, Type A was better."
velocity,48,2,2,8,1,0,42,F,"Type A was stronger in the long run, and B in the shorter run. So if the attach was coming before month 4 (when both were the same strength) Type B was the better choice, Otherwise, Type A was better."
velocity,49,0,2,3,2,1,46,F,I watched the bars to see which one I thought was going to go up faster. 
velocity,49,1,2,5,2,1,46,F,I watched the bars to see which one I thought was going to go up faster. 
velocity,49,2,2,8,2,1,46,F,I watched the bars to see which one I thought was going to go up faster. 
velocity,50,0,2,3,1,1,35,M,Find the break-even point between the two systems and select accordingly
velocity,50,1,2,5,1,0,35,M,Find the break-even point between the two systems and select accordingly
velocity,50,2,2,8,1,0,35,M,Find the break-even point between the two systems and select accordingly
velocity,51,0,2,3,2,1,60,M,early months use b later months use a
velocity,51,1,2,5,2,0,60,M,early months use b later months use a
velocity,51,2,2,8,2,0,60,M,early months use b later months use a
velocity,52,0,2,3,2,1,37,M,Use historical data on monthly upgrades and choose the best defense given the month of the attack
velocity,52,1,2,5,2,0,37,M,Use historical data on monthly upgrades and choose the best defense given the month of the attack
velocity,52,2,2,8,2,0,37,M,Use historical data on monthly upgrades and choose the best defense given the month of the attack
velocity,53,0,2,3,2,1,36,F,"If the attack was coming in less than 5 months, I felt it was best to take option B because it was already the longest because of the starting spot. If the attack was greater than 5 months then I chose option A because it grows the furthest over time."
velocity,53,1,2,5,2,1,36,F,"If the attack was coming in less than 5 months, I felt it was best to take option B because it was already the longest because of the starting spot. If the attack was greater than 5 months then I chose option A because it grows the furthest over time."
velocity,53,2,2,8,2,0,36,F,"If the attack was coming in less than 5 months, I felt it was best to take option B because it was already the longest because of the starting spot. If the attack was greater than 5 months then I chose option A because it grows the furthest over time."
velocity,54,0,2,3,2,1,40,F,My strategy was to pick the type that would be the strongest on the month in question.
velocity,54,1,2,5,2,0,40,F,My strategy was to pick the type that would be the strongest on the month in question.
velocity,54,2,2,8,2,0,40,F,My strategy was to pick the type that would be the strongest on the month in question.
velocity,55,0,2,3,2,0,48,M,I tried to guess which type would be better during the month the planet was attacked
velocity,55,1,2,5,2,0,48,M,I tried to guess which type would be better during the month the planet was attacked
velocity,55,2,2,8,2,1,48,M,I tried to guess which type would be better during the month the planet was attacked
velocity,56,0,2,3,0,1,47,F,"depending on the month of the attack, I chose the one that would be at its maximum at the time of attack"
velocity,56,1,2,5,0,0,47,F,"depending on the month of the attack, I chose the one that would be at its maximum at the time of attack"
velocity,56,2,2,8,0,0,47,F,"depending on the month of the attack, I chose the one that would be at its maximum at the time of attack"
velocity,57,0,2,3,1,1,46,F,"I preferred system A for attacks after 4 months, as it had more defense available. System B was better for attacks in month 3."
velocity,57,1,2,5,1,0,46,F,"I preferred system A for attacks after 4 months, as it had more defense available. System B was better for attacks in month 3."
velocity,57,2,2,8,1,0,46,F,"I preferred system A for attacks after 4 months, as it had more defense available. System B was better for attacks in month 3."
velocity,58,0,2,3,2,1,44,F,I tried to look for patterns that would help me choose.
velocity,58,1,2,5,2,1,44,F,I tried to look for patterns that would help me choose.
velocity,58,2,2,8,2,1,44,F,I tried to look for patterns that would help me choose.
velocity,59,0,2,3,0,0,44,F,I looked at all the examples and used that information to make my decisions.
velocity,59,1,2,5,0,0,44,F,I looked at all the examples and used that information to make my decisions.
velocity,59,2,2,8,0,0,44,F,I looked at all the examples and used that information to make my decisions.
velocity,60,0,2,3,2,0,34,F,"For the most part, I felt as though staying with type A had a better outcome for most of the differing times of attack. "
velocity,60,1,2,5,2,0,34,F,"For the most part, I felt as though staying with type A had a better outcome for most of the differing times of attack. "
velocity,60,2,2,8,2,0,34,F,"For the most part, I felt as though staying with type A had a better outcome for most of the differing times of attack. "
velocity,61,0,2,3,0,1,78,M,"If the attack was close, use plan B.  If the attack was five months or longer continue with plan A."
velocity,61,1,2,5,0,0,78,M,"If the attack was close, use plan B.  If the attack was five months or longer continue with plan A."
velocity,61,2,2,8,0,0,78,M,"If the attack was close, use plan B.  If the attack was five months or longer continue with plan A."
velocity,62,0,2,3,0,1,33,M,"I tried to see when the cutoff point for each source was for it to be or not be useful. In this case, it was around the 6 month mark one way or the other"
velocity,62,1,2,5,0,1,33,M,"I tried to see when the cutoff point for each source was for it to be or not be useful. In this case, it was around the 6 month mark one way or the other"
velocity,62,2,2,8,0,0,33,M,"I tried to see when the cutoff point for each source was for it to be or not be useful. In this case, it was around the 6 month mark one way or the other"
velocity,63,0,2,3,0,0,25,F,Sticking with A after seeing multiple examples
velocity,63,1,2,5,0,0,25,F,Sticking with A after seeing multiple examples
velocity,63,2,2,8,0,0,25,F,Sticking with A after seeing multiple examples
velocity,64,0,2,3,1,0,60,F,My strategy was to choose whether to keep or switch energy types to make the defense as strong as possible before the attack.
velocity,64,1,2,5,1,0,60,F,My strategy was to choose whether to keep or switch energy types to make the defense as strong as possible before the attack.
velocity,64,2,2,8,1,0,60,F,My strategy was to choose whether to keep or switch energy types to make the defense as strong as possible before the attack.
velocity,65,0,2,3,0,1,41,M,"If the attack would occur in 4 months or fewer, go with B, otherwise A will catch up and go beyond"
velocity,65,1,2,5,0,0,41,M,"If the attack would occur in 4 months or fewer, go with B, otherwise A will catch up and go beyond"
velocity,65,2,2,8,0,0,41,M,"If the attack would occur in 4 months or fewer, go with B, otherwise A will catch up and go beyond"
velocity,66,0,2,3,1,1,48,M,I estimated how strong type A would be against what type B already was.
velocity,66,1,2,5,1,1,48,M,I estimated how strong type A would be against what type B already was.
velocity,66,2,2,8,1,0,48,M,I estimated how strong type A would be against what type B already was.
velocity,67,0,2,3,2,1,34,M,I tried to build my defense force by switching the types depending on how much they were built up each time.
velocity,67,1,2,5,2,1,34,M,I tried to build my defense force by switching the types depending on how much they were built up each time.
velocity,67,2,2,8,2,0,34,M,I tried to build my defense force by switching the types depending on how much they were built up each time.
velocity,68,0,2,3,1,1,46,M,"anything over 5months should be energy type A, less than 5months would be type B"
velocity,68,1,2,5,1,0,46,M,"anything over 5months should be energy type A, less than 5months would be type B"
velocity,68,2,2,8,1,0,46,M,"anything over 5months should be energy type A, less than 5months would be type B"
velocity,69,0,2,3,0,1,56,F,I tried to keep in mind what level the energy was at when the month of the attack happened.
velocity,69,1,2,5,0,1,56,F,I tried to keep in mind what level the energy was at when the month of the attack happened.
velocity,69,2,2,8,0,0,56,F,I tried to keep in mind what level the energy was at when the month of the attack happened.
velocity,70,0,2,3,0,1,36,F,I did not have a strategy. 
velocity,70,1,2,5,0,1,36,F,I did not have a strategy. 
velocity,70,2,2,8,0,0,36,F,I did not have a strategy. 
velocity,71,0,2,3,2,1,43,F,I went with the strongest bar at the time of attack
velocity,71,1,2,5,2,0,43,F,I went with the strongest bar at the time of attack
velocity,71,2,2,8,2,0,43,F,I went with the strongest bar at the time of attack
velocity,72,0,2,3,1,1,34,F,I just though I would try them both out and see what would happen.
velocity,72,1,2,5,1,1,34,F,I just though I would try them both out and see what would happen.
velocity,72,2,2,8,1,0,34,F,I just though I would try them both out and see what would happen.
velocity,73,0,2,3,0,1,24,M,I counted the months and looked at the development graphs. I then chose the most effective energy type in terms of protection.
velocity,73,1,2,5,0,0,24,M,I counted the months and looked at the development graphs. I then chose the most effective energy type in terms of protection.
velocity,73,2,2,8,0,0,24,M,I counted the months and looked at the development graphs. I then chose the most effective energy type in terms of protection.
velocity,74,0,2,3,2,1,39,F,Switch to B if the attack was occurring before month six otherwise stay with A
velocity,74,1,2,5,2,1,39,F,Switch to B if the attack was occurring before month six otherwise stay with A
velocity,74,2,2,8,2,0,39,F,Switch to B if the attack was occurring before month six otherwise stay with A
velocity,75,0,2,3,2,0,38,M,I look at all the months on both energies and pick the one that would be the strongest.
velocity,75,1,2,5,2,0,38,M,I look at all the months on both energies and pick the one that would be the strongest.
velocity,75,2,2,8,2,0,38,M,I look at all the months on both energies and pick the one that would be the strongest.
velocity,76,0,2,3,0,1,34,F,I looked at how far out the attack would be. If it was farther out I stayed with energy source A because it would get stronger farther out. If closer I would switch to B because it started stronger.
velocity,76,1,2,5,0,0,34,F,I looked at how far out the attack would be. If it was farther out I stayed with energy source A because it would get stronger farther out. If closer I would switch to B because it started stronger.
velocity,76,2,2,8,0,0,34,F,I looked at how far out the attack would be. If it was farther out I stayed with energy source A because it would get stronger farther out. If closer I would switch to B because it started stronger.
velocity,77,0,2,3,2,0,36,F,"I paid attention to when it said the alien attack would happen, and if the energy source would work well in tandem with that, rather than boosting unnecessarily afterwards, that would be the more effective decision."
velocity,77,1,2,5,2,1,36,F,"I paid attention to when it said the alien attack would happen, and if the energy source would work well in tandem with that, rather than boosting unnecessarily afterwards, that would be the more effective decision."
velocity,77,2,2,8,2,1,36,F,"I paid attention to when it said the alien attack would happen, and if the energy source would work well in tandem with that, rather than boosting unnecessarily afterwards, that would be the more effective decision."
velocity,78,0,2,3,1,1,45,M,My strategy was to compare the two energy types month by month so I could choose which energy type would be better to use at any given time.
velocity,78,1,2,5,1,0,45,M,My strategy was to compare the two energy types month by month so I could choose which energy type would be better to use at any given time.
velocity,78,2,2,8,1,0,45,M,My strategy was to compare the two energy types month by month so I could choose which energy type would be better to use at any given time.
velocity,79,0,2,3,2,0,29,F,Thinking about the probability of each months attack
velocity,79,1,2,5,2,0,29,F,Thinking about the probability of each months attack
velocity,79,2,2,8,2,1,29,F,Thinking about the probability of each months attack
velocity,80,0,2,3,1,1,43,M,"My strategy was based on the month of the attack. If it happened later, the growth pattern of type A made clear it was better for defense, whereas type B was better for earlier months."
velocity,80,1,2,5,1,1,43,M,"My strategy was based on the month of the attack. If it happened later, the growth pattern of type A made clear it was better for defense, whereas type B was better for earlier months."
velocity,80,2,2,8,1,0,43,M,"My strategy was based on the month of the attack. If it happened later, the growth pattern of type A made clear it was better for defense, whereas type B was better for earlier months."
velocity,81,0,2,3,2,1,61,F,I paid attention to when the attack would take place and chose the system that would be strongest at that point based on the examples given to me prior to the actual experiment.
velocity,81,1,2,5,2,1,61,F,I paid attention to when the attack would take place and chose the system that would be strongest at that point based on the examples given to me prior to the actual experiment.
velocity,81,2,2,8,2,0,61,F,I paid attention to when the attack would take place and chose the system that would be strongest at that point based on the examples given to me prior to the actual experiment.
velocity,82,0,2,3,1,1,27,F,"My strategy is to analyze the development patterns of both energy types, comparing their starting capabilities and growth rates, to determine the optimal point to either continue with Type A or switch to Type B, ensuring maximum defense capability by the time of a potential attack."
velocity,82,1,2,5,1,0,27,F,"My strategy is to analyze the development patterns of both energy types, comparing their starting capabilities and growth rates, to determine the optimal point to either continue with Type A or switch to Type B, ensuring maximum defense capability by the time of a potential attack."
velocity,82,2,2,8,1,0,27,F,"My strategy is to analyze the development patterns of both energy types, comparing their starting capabilities and growth rates, to determine the optimal point to either continue with Type A or switch to Type B, ensuring maximum defense capability by the time of a potential attack."
velocity,83,0,2,3,0,1,46,F,Best strategy was find the best defense
velocity,83,1,2,5,0,1,46,F,Best strategy was find the best defense
velocity,83,2,2,8,0,0,46,F,Best strategy was find the best defense
velocity,84,0,2,3,0,1,34,F,if the attack was coming soon i chose option B if the attack was several months off i chose option A
velocity,84,1,2,5,0,1,34,F,if the attack was coming soon i chose option B if the attack was several months off i chose option A
velocity,84,2,2,8,0,0,34,F,if the attack was coming soon i chose option B if the attack was several months off i chose option A
velocity,85,0,2,3,0,1,30,M,"I chose my type of energy based on past examples. If the aliens attacked early, then type B was better, but if it was later on, then type A was better for the long run."
velocity,85,1,2,5,0,0,30,M,"I chose my type of energy based on past examples. If the aliens attacked early, then type B was better, but if it was later on, then type A was better for the long run."
velocity,85,2,2,8,0,0,30,M,"I chose my type of energy based on past examples. If the aliens attacked early, then type B was better, but if it was later on, then type A was better for the long run."
velocity,86,0,2,3,0,1,44,M,average out the time until attack versus the time to build a weapon
